name,position,scale,count,url
尚正,深圳市福田区华富街道莲花一村社区皇岗路5001号深业上城(南区)T2栋703-708,20.46,10,www.toprightfund.com
山西证券,山西省太原市府西街69号山西国际贸易中心东塔楼,176.48,30,www.sxzq.com
申万宏源,上海市徐汇区长乐路989号45层,168.38,10,www.swhysc.com/swhysc/
上海海通证券,上海市黄浦区广东路689号第32层第01-12室单元,101.57,38,www.htsec.com
上海光大证券,上海市静安区新闸路1508号17层,253.44,38,www.ebscn-am.com
上海国泰君安证券,上海市静安区新闸路669号博华大厦22-23层及25层,420.57,53,www.gtjazg.com
太平,上海市浦东新区银城中路488号太平金融大厦7楼,593.58,45,www.taipingfund.com.cn
天弘,河北省天津市河西区马场道59号天津国际经济贸易中心A座16层,10608.2,303,www.thfund.com.cn
泰达宏利,北京市朝阳区针织路23号楼中国人寿金融中心6层02-07单元,725.2,102,www.mfcteda.com
太平洋证券,云南省昆明市北京路926号同德广场写字楼31楼,32.98,3,www.tpyzq.com
泰康资产,北京市西城区武定侯街2号泰康国际大厦5层,988.42,0,www.taikangasset.cn
泰康,--,909.06,115,www.tkfunds.com.cn
天风证券,湖北省武汉市武昌区中北路217号天风大厦2号楼,0,0,www.tfzq.com
天治,上海市复兴西路159号,55.38,19,www.chinanature.com.cn
同泰,深圳市福田区华富街道莲花一村社区皇岗路5001号深业上城(南区)T2栋41层,28.07,45,www.tongtaiamc.com
天风(上海)证券,上海市虹口区东大名路678号5楼,10.02,6,www.tfzqam.com
泰信,上海市浦东新区浦东南路256号华夏银行大厦36-37层,361.22,51,www.ftfund.com
万联证券,广东省广州市天河区珠江东路11号高德置地广场F座18、19楼,3.51,1,www.wlzq.cn
万家,上海市浦东新区浦电路360号陆家嘴投资大厦9楼,3488.68,226,www.wjasset.com
鑫元,上海市静安区中山北路909号12楼,1094.04,94,www.xyamc.com
兴华,山东省青岛市李沧区金水路187号青岛国际院士港产业加速器2号楼8层,50.1,15,www.xinghuafund.com.cn
兴证全球,上海市浦东新区芳甸路1155号浦东嘉里城办公楼28楼,5863.19,91,www.xqfunds.com
湘财证券,北京市西城区月坛南街1号院1号楼2层1-204-02单元,21.17,1,www.xcsc.com
信达澳亚,深圳市南山区科苑南路2666号中国华润大厦10层,896.63,86,www.fscinda.com
新华基金管理,北京市西城区平安里西大街26号新时代大厦9层、11层,575.73,76,www.ncfund.com.cn
先锋,北京市海淀区北太平庄路18号城建大厦A座24层,31.53,17,www.xf-fund.com
兴银基金,上海市自由贸易试验区滨江大道5129号N1幢3层、4层,720.53,74,www.hffunds.cn
西南证券,重庆市江北区金沙门路32号,3.05,1,www.swsc.com.cn
新沃,北京市朝阳区安贞西里五区1号楼新华金融大厦5层519室,52.96,10,www.sinvofund.com
兴业,上海市浦东新区银城路东新区银城路167号13、14层,2829.93,134,www.cib-fund.com.cn
信达证券,北京市西城区闹市口大街9号院1号楼,19.59,8,www.cindasc.com
湘财,上海市浦东新区杨高南路428号由由世纪广场1号楼3楼,29.34,23,www.xc-fund.com
兴证证券,上海市浦东新区长柳路36号兴业证券大厦9楼,25.14,25,www.ixzzcgl.com
兴合,--,7.4,2,www.xhfund.com
西部证券,陕西省西安市新城区东新街319号8幢10000室,6.6,1,www.westsecu.com
西部利得,上海市浦东新区耀体路276号晶耀商务广场3号楼9层,899.31,113,www.westleadfund.com
银华基金管理,北京市东城区东长安街1号东方广场东方经贸城C2办公楼15层,6008.03,255,www.yhfund.com.cn
英大,北京市朝阳区东三环中路1号环球金融中心西塔22楼2201,509.57,46,www.ydamc.com
易方达,广州市天河区珠江新城珠江东路30号广州银行大厦40-43F,15233.15,530,www.efunds.com.cn
银河,上海市浦东新区世纪大道1568号中建大厦15楼,1032.39,134,www.cgf.cn
易米,上海市浦东新区杨高南路759号29层02单元,8.43,12,www.yimifund.com
粤开证券,广州经济技术开发区科学大道60号开发区控股中心21、22、23层,3.08,1,www.ykzq.com
银河金汇证券,北京市丰台区西营街8号院1号楼青海金融大厦,245.88,13,yhjh.chinastock.com.cn
永赢,上海市浦东新区世纪大道210号二十一世纪大厦21、22、23、27层,2712,186,www.maxwealthfund.com
圆信永丰,中国上海市浦东新区世纪大道1528号陆家嘴基金大厦19楼,327.88,46,www.gtsfund.com.cn
益民,北京市宣武区宣武门外大街10号庄胜广场中央办公楼南翼13A,10.42,6,www.ymfund.com
中海,上海市浦东新区银城中路68号2905-2908室及30层,149.72,41,www.zhfund.com
中邮创业基金管理,北京市东城区和平里中街乙16号,535.2,82,www.postfund.com.cn
中欧,上海市自由贸易试验区陆家嘴环路479号上海中心大厦8层、上海市虹口区公平路18号8栋-嘉昱大厦7层,4691.4,281,www.zofund.com
浙商,杭州市西湖区教工路18号世贸丽晶欧美中心B座507室,526.05,74,www.zsfund.com
中国中金财富,深圳市福田区益田路与福中路交界处荣超商务中心A栋第18-21层及第04层01.02.03.05.11.12.13.15.16.18.19.20.21.22.23单元,37.88,1,www.ciccwm.com
中信保诚,上海市浦东新区世纪大道8号上海国金中心汇丰银行大楼9层,1099.38,133,www.citicprufunds.com.cn
中融,北京市东城区安定门外大街208号中粮置地广场A座11层,1107.52,143,www.zrfunds.com.cn
中加,北京市西城区南纬路35号,1219.2,122,www.bobbns.com
中银,上海市浦东新区银城中路200号中银大厦10楼、11楼、26楼、45楼,3988.26,253,www.bocim.com
中信建投,北京市东城区朝阳门内大街2号凯恒中心B座17、19层,564.68,91,www.cfund108.com
中泰证券(上海),上海市浦东新区银城中路488号太平金融大厦1002-1003室,401.3,46,www.ztzqzg.com
中科沃土,广东省佛山市南海区桂城街道桂澜北路6号千灯湖创投小镇核心区(自编号)十三座(B4),15.44,11,www.richlandasm.com.cn
中信证券,"广东省深圳市福田区中心三路8号中信证券大厦,北京市朝阳区亮马桥路48号中信证券大厦",323.8,40,www.citics.com
中航,北京市朝阳区天辰东路1号的北京亚洲金融大厦B座1001、1007、1008单元,226.05,28,www.avicfund.cn
浙江浙商证券,浙江省杭州市江干区五星路201号浙商证券大楼(原明珠国际商务中心1号楼)7楼,235,40,www.stocke.com.cn
中庚,上海市浦东新区陆家嘴环路1318号星展银行大厦7F 703-704室,383.05,6,www.zgfunds.com.cn
招商证券,深圳市福田区福华一路111号招商证券大厦17、18楼,370.6,17,amc.cmschina.com/#/home/page
中国国际金融,北京市朝阳区建国门外大街1号国贸大厦2座27、28层,56.99,14,www.cicc.com
朱雀,上海市浦东新区海阳西路555号/东育路588号前滩中心【又名:前滩荟中心】第58层,200.4,13,www.rosefinchfund.com
中金,北京市朝阳区建国门外大街1号国贸写字楼2座26层05室,829.04,65,www.ciccfund.com
中银国际证券,"上海市浦东新区银城中路200号中银大厦39、40、41层,北京市西城区西单北大街110号7层",1245.48,79,www.bocichina.com
中信建投证券,"北京市东城区朝内大街188号,香港中环交易广场二期18楼",150.92,3,www.csc108.com
中原证券,河南省郑州市郑东新区商务外环路10号,21.15,1,www.ccnew.com
招商,深圳市深南大道7088号招商银行大厦28楼,7726.27,483,www.cmfchina.com
